time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate
512,1,3,159,,,,,,,,,,,
1024,2,15,65,-0.041034456552006306,0.1326171875,0.07039491832256317,10,1.0002063512802124,-0.03429865837097168,0.2,0.015520686,-14.189302062988281,2.1805773563683033,0.00025
1536,3,30,50,-0.007464357896242291,0.059375,4.5198774337768555,20,1.0004441738128662,0.06355136632919312,0.2,0.0098086,-14.193673467636108,42.83341243267059,0.00025
2048,4,44,45,0.0024420390487648546,0.0546875,19.279245376586914,30,1.000519037246704,-0.013968825340270996,0.2,0.006112011,-14.19364812374115,90.87174258232116,0.00025
2560,5,60,42,-0.030467705219052732,0.1375,0.01649579405784607,40,1.001558780670166,0.09626036882400513,0.2,0.01528922,-14.198276019096374,3.1055334217846395,0.00025
3072,6,74,40,-0.006769114045891911,0.04921875,0.9211979508399963,50,1.0020651817321777,0.25974559783935547,0.2,0.0076828757,-14.207465076446534,15.80359046459198,0.00025
3584,7,88,40,-0.017854448617435993,0.0708984375,0.35970625281333923,60,1.001968502998352,0.797428697347641,0.2,0.011459464,-14.20973343849182,4.140145841240883,0.00025
4096,8,103,39,-0.025952079985290765,0.1662109375,0.20015770196914673,70,1.0022680759429932,0.4883612394332886,0.2,0.01663243,-14.209514927864074,4.198891213536262,0.00025
4608,9,117,39,-0.01044995489064604,0.085546875,1.9610083103179932,80,1.0024455785751343,0.5986046493053436,0.2,0.010915904,-14.212558484077453,17.068631130456925,0.00025
5120,10,131,39,-0.007215720403473824,0.088671875,1.337336540222168,90,1.0024431943893433,0.3382827043533325,0.2,0.01562252,-14.213849425315857,11.520508369803428,0.00025
5632,11,144,38,-0.029292517225258052,0.1412109375,0.25383460521698,100,1.001124620437622,0.6207930445671082,0.2,0.017839327,-14.209452176094056,4.9874171912670135,0.00025
6144,12,158,38,-0.010793020611163228,0.0732421875,2.897407054901123,110,1.0006258487701416,0.5265325009822845,0.2,0.00868224,-14.196141982078553,28.429825043678285,0.00025
6656,13,172,38,-0.016462933109141886,0.0615234375,0.5740150213241577,120,1.0009251832962036,0.7276406586170197,0.2,0.010875562,-14.196489953994751,5.119096174836159,0.00025
7168,14,186,38,-0.025592644070275127,0.14453125,0.15082001686096191,130,1.0008240938186646,0.7801009267568588,0.2,0.015692824,-14.198067712783814,5.400956949591636,0.00025
7680,15,199,38,-0.014596028346568346,0.08828125,0.8800765872001648,140,1.0007634162902832,0.7641077637672424,0.2,0.013164819,-14.196979975700378,13.081030040979385,0.00025
8192,16,213,38,-0.023707861185539515,0.096484375,0.531363844871521,150,1.0012826919555664,0.8555831611156464,0.2,0.015111662,-14.19884271621704,4.209478485584259,0.00025
8704,17,228,38,-0.027590701752342284,0.1478515625,0.35484778881073,160,1.0019506216049194,0.8236164450645447,0.2,0.019379757,-14.204478359222412,5.0455679297447205,0.00025
9216,18,243,37,-0.006986743817105889,0.157421875,1.1115094423294067,170,1.0023760795593262,0.8820368871092796,0.2,0.019210044,-14.21051528453827,13.698602849245072,0.00025
9728,19,257,37,-0.03349973657168448,0.1283203125,0.2284390777349472,180,1.0018675327301025,0.9558047093451023,0.2,0.014730711,-14.211023211479187,1.7538836911320685,0.00025
10240,20,273,37,-0.023073161696083845,0.14140625,0.2746295928955078,190,1.0015243291854858,0.8923008218407631,0.2,0.017726867,-14.205710959434509,4.701244357228279,0.00025
