,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2018-01-02,2303.TW,14.199999809265137,14.300000190734863,14.149999618530273,9.437777519226074,16608150.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,9.437777519226074,9.437777519226074,0.0,9.770000457763672
0,2018-01-02,2308.TW,144.0,144.0,140.0,113.77301788330078,4167036.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,113.77301788330078,113.77301788330078,0.0,9.770000457763672
0,2018-01-02,2317.TW,119.25,119.625,117.875,86.31523895263672,22881852.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,86.31523895263672,86.31523895263672,0.0,9.770000457763672
0,2018-01-02,2327.TW,77.45240020751953,77.67180633544922,75.03887176513672,52.84160614013672,10464592.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,52.84160614013672,52.84160614013672,0.0,9.770000457763672
0,2018-01-02,2330.TW,231.5,232.5,231.0,188.90806579589844,18055269.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,188.90806579589844,188.90806579589844,0.0,9.770000457763672
0,2018-01-02,2345.TW,106.5,112.5,105.0,91.74205017089844,9286572.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,91.74205017089844,91.74205017089844,0.0,9.770000457763672
0,2018-01-02,2383.TW,102.5,104.0,100.5,80.20381164550781,2321338.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,80.20381164550781,80.20381164550781,0.0,9.770000457763672
0,2018-01-02,2454.TW,293.0,293.5,289.0,190.4244842529297,2537800.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,190.4244842529297,190.4244842529297,0.0,9.770000457763672
0,2018-01-02,3037.TW,16.399999618530273,16.799999237060547,16.25,14.039414405822754,12617986.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,14.039414405822754,14.039414405822754,0.0,9.770000457763672
0,2018-01-02,3711.TW,76.19999694824219,76.5999984741211,75.80000305175781,53.74097442626953,2408135.0,1,0.0,9.627943636696248,9.34695565529594,50.0,0.0,0.0,53.74097442626953,53.74097442626953,0.0,9.770000457763672
1,2018-01-03,2303.TW,14.399999618530273,14.600000381469727,14.350000381469727,9.537121772766113,54796186.0,2,0.0022288774832670555,9.627943636696248,9.34695565529594,100.0,0.0,100.0,9.487449645996094,9.487449645996094,0.0,9.149999618530273
1,2018-01-03,2308.TW,141.0,141.0,138.0,112.15921020507812,4681918.0,2,-0.03620722354985162,115.24838274979376,110.68384533858514,0.0,0.0,100.0,112.96611404418945,112.96611404418945,0.0,9.149999618530273
1,2018-01-03,2317.TW,118.75,119.125,117.5,85.40666198730469,45193668.0,2,-0.020384739606797098,87.14587233680305,84.57602860313835,0.0,0.0,100.0,85.8609504699707,85.8609504699707,0.0,9.149999618530273
1,2018-01-03,2327.TW,81.07269287109375,85.35122680664062,79.86592864990234,58.066062927246094,19663592.0,2,0.11721537663386528,62.84233217805365,48.06533688932916,100.0,0.0,100.0,55.453834533691406,55.453834533691406,0.0,9.149999618530273
1,2018-01-03,2330.TW,236.0,238.0,235.5,192.56436157226562,29308091.0,2,0.08203227703387483,195.90699675906797,185.5654306090961,100.0,0.0,100.0,190.73621368408203,190.73621368408203,0.0,9.149999618530273
1,2018-01-03,2345.TW,111.5,114.5,110.5,92.97624206542969,7569333.0,2,0.02769020276191725,94.1045570339811,90.61373520234703,100.0,0.0,100.0,92.35914611816406,92.35914611816406,0.0,9.149999618530273
1,2018-01-03,2383.TW,105.0,107.0,104.0,80.58940887451172,3790487.0,2,0.008651219881500083,80.94192709088057,79.85129342913896,100.0,0.0,100.0,80.39661026000977,80.39661026000977,0.0,9.149999618530273
1,2018-01-03,2454.TW,295.0,302.5,295.0,196.30381774902344,8196202.0,2,0.13190812330981316,201.67878416886677,185.04951783308636,100.0,0.0,100.0,193.36415100097656,193.36415100097656,0.0,9.149999618530273
1,2018-01-03,3037.TW,16.899999618530273,17.100000381469727,16.600000381469727,13.872278213500977,16706232.0,2,-0.003749850468757643,14.192212579606721,13.71948003971701,0.0,0.0,100.0,13.955846309661865,13.955846309661865,0.0,9.149999618530273
1,2018-01-03,3711.TW,77.0999984741211,77.5,76.80000305175781,54.30224609375,4631364.0,2,0.012592633565269296,54.815368264336406,53.227852255683125,100.0,0.0,100.0,54.021610260009766,54.021610260009766,0.0,9.149999618530273
2,2018-01-04,2303.TW,14.399999618530273,14.5,14.25,9.504008293151855,31518466.0,3,0.0018131852950897809,9.594136708471376,9.391801681624651,74.35970649265616,0.0,48.71782749719461,9.492969195048014,9.492969195048014,0.0,9.220000267028809
2,2018-01-04,2308.TW,139.5,140.0,138.5,112.15921020507812,3198008.0,3,-0.04613518945980388,114.56061069270329,110.83368150293474,0.0,0.0,100.0,112.69714609781902,112.69714609781902,0.0,9.220000267028809
2,2018-01-04,2317.TW,117.0,117.375,115.625,84.13465118408203,43005120.0,3,-0.06541918325649476,87.47617733639339,83.09485741295558,0.0,0.0,100.0,85.28551737467448,85.28551737467448,0.0,9.220000267028809
