date,2330.TW,2454.TW
2025-01-02,48,0
2025-01-03,48,0
2025-01-06,48,0
2025-01-07,47,1
2025-01-08,47,1
2025-01-09,47,1
2025-01-10,47,1
2025-01-13,47,1
2025-01-14,47,1
2025-01-15,47,1
2025-01-16,47,1
2025-01-17,47,1
2025-01-20,47,1
2025-01-21,47,1
