,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,vix
0,2024-01-02,2303.TW,52.5,52.79999923706055,51.29999923706055,46.182151794433594,64217881.0,1,0.7161960653821637,47.23944530662723,42.339689443738976,58.21112750527746,152.1306786966315,26.05465152989716,44.62049992879232,43.731411679585776,12.147889772290513,13.199999809265137
0,2024-01-02,2308.TW,311.0,312.5,309.0,299.0179443359375,3109841.0,1,0.17458490910030378,305.1790107080776,289.722054355399,48.34799638728023,-7.339261077355523,2.77977920375466,299.6931640625,298.7768188476563,12.147889772290513,13.199999809265137
0,2024-01-02,2317.TW,104.5,105.0,104.0,98.78724670410156,19921105.0,1,0.8652468297503333,99.18903664966273,93.82243414501501,56.54652624676969,167.45674629814206,16.81704861914956,96.21564559936523,95.35635363260904,12.147889772290513,13.199999809265137
0,2024-01-02,2327.TW,125.74942016601562,126.58635711669922,122.82015228271484,114.69449615478516,10333806.0,1,0.9409879867775572,123.55706050388577,113.35448963649509,53.669822283725246,-17.041534822354357,8.254729400442393,116.62235616048177,111.0699966430664,12.147889772290513,13.199999809265137
0,2024-01-02,2330.TW,590.0,593.0,589.0,571.8818969726562,26059058.0,1,6.6097978131203945,577.9424839368244,541.0535365709882,61.10907209169313,144.93335131399087,27.107846701563933,557.2623433430989,543.0504908243815,12.147889772290513,13.199999809265137
0,2024-01-02,2345.TW,525.0,525.0,492.5,477.5812072753906,3069906.0,1,-5.311598998967838,529.4807533425565,468.79460371310756,46.75731451272227,-97.97471028641787,6.867798231795202,507.08123474121095,506.60542653401694,12.147889772290513,13.199999809265137
0,2024-01-02,2383.TW,382.0,382.0,363.0,353.2757263183594,5018940.0,1,-6.0536758428447115,380.3121441034977,348.87408636525225,44.10593038579895,-81.29398948753001,12.73581786765966,372.2104217529297,382.3292963663737,12.147889772290513,13.199999809265137
0,2024-01-02,2454.TW,1010.0,1015.0,980.0,881.0732421875,10009034.0,1,22.27624498419368,935.853272503992,816.6831471737423,59.839094612072685,68.01301472626852,32.060565882278595,865.266015625,816.6468200683594,12.147889772290513,13.199999809265137
0,2024-01-02,3037.TW,176.0,177.0,172.0,167.99916076660156,7442862.0,1,1.912881501179669,176.89633275067493,164.00600947344614,51.3061490801076,-4.2858916564112235,8.541192196968442,169.11591695149738,160.8454376220703,12.147889772290513,13.199999809265137
0,2024-01-02,3711.TW,134.5,135.0,132.0,124.66900634765625,11990282.0,1,2.2022069173002876,126.68327876559215,118.59249943265004,60.94065133243212,109.75759811028703,28.006667959476044,121.33828099568684,115.43946024576823,12.147889772290513,13.199999809265137
1,2024-01-03,2303.TW,51.20000076293945,51.29999923706055,50.5,45.02537155151367,75978300.0,2,0.6171366280015462,47.25654504744748,42.447165890052524,53.760994422904105,51.67366891206049,20.157858546979263,44.62939821879069,43.811496289571124,13.486635286398991,14.039999961853027
1,2024-01-03,2308.TW,308.0,308.5,303.0,293.7127990722656,4579539.0,2,-0.23905780716751224,304.9991129996523,289.32320755698834,45.64778914243348,-89.7146138661819,9.060888099739543,299.500249226888,298.2463033040365,13.486635286398991,14.039999961853027
1,2024-01-03,2317.TW,104.5,105.0,104.0,98.31683349609375,18957682.0,2,0.871502718564301,99.37486657621453,93.96589498994759,55.17672309908319,138.53502969882712,16.817048619149556,96.27836761474609,95.34067306518554,13.486635286398991,14.039999961853027
