time/iterations,train/reward,train/policy_loss,train/entropy_loss,train/std,train/learning_rate,train/explained_variance,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,train/value_loss
100,3.1632242,-78.90901184082031,-14.198286056518555,1.0011268854141235,0.00025,-0.0059359073638916016,2000,415,99,4,59.4124641418457
200,-3.471054,-12.854049682617188,-14.201873779296875,1.0012341737747192,0.00025,-0.010731220245361328,4000,403,199,9,49.54344940185547
300,-0.93710154,-24.1997127532959,-14.195993423461914,1.0006803274154663,0.00025,-0.03612697124481201,6000,407,299,14,9.745393753051758
400,9.373436,-108.2173080444336,-14.197824478149414,1.0008552074432373,0.00025,-0.07900142669677734,8000,410,399,19,68.16551208496094
500,-0.3921322,60.28228759765625,-14.193925857543945,1.0004526376724243,0.00025,-0.03091120719909668,10000,411,499,24,72.17181396484375
600,2.0798838,71.4797134399414,-14.181417465209961,0.9992240071296692,0.00025,0.059932172298431396,12000,413,599,29,41.32445526123047
700,3.4233599,131.64480590820312,-14.190179824829102,1.0000927448272705,0.00025,-0.012036561965942383,14000,410,699,34,98.05265808105469
800,-2.7566242,-51.5035514831543,-14.184774398803711,0.9994860887527466,0.00025,0.014849424362182617,16000,403,799,39,48.46378707885742
900,-0.065871894,55.512855529785156,-14.17558479309082,0.9986342191696167,0.00025,-0.42679667472839355,18000,390,899,46,18.161808013916016
1000,2.8483534,-244.20626831054688,-14.175348281860352,0.998556911945343,0.00025,0.014316201210021973,20000,391,999,51,412.8079528808594
