time/iterations,time/fps,time/total_timesteps,train/reward,time/time_elapsed,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/explained_variance,train/std,train/n_updates
1,260,512,-1.021012,1,,,,,,,,,,,
2,255,1024,0.025190817,4,0.00025,3.833997964859009,-42.57202568054199,0.2291015625,-0.04062670479761436,9.405354750156402,0.2,0.020094097,-0.040288329124450684,1.0001184940338135,10
3,256,1536,-0.09230859,5,0.00025,6.906728744506836,-42.57039632797241,0.1435546875,-0.028938884648960085,15.096627831459045,0.2,0.019691154,-0.03326690196990967,0.999987006187439,20
4,260,2048,1.0843452,7,0.00025,4.264969825744629,-42.56576166152954,0.2064453125,-0.043482047540601344,11.887338304519654,0.2,0.026344748,0.02682739496231079,0.9999389052391052,30
5,259,2560,0.17298219,9,0.00025,8.822876930236816,-42.577462673187256,0.1509765625,-0.027916154940612614,18.370066976547243,0.2,0.0238745,-0.0031125545501708984,1.0007164478302002,40
6,257,3072,0.082309365,11,0.00025,13.37359619140625,-42.59041986465454,0.1341796875,-0.02947460822761059,30.29902939796448,0.2,0.024930619,-0.001858830451965332,1.0008234977722168,50
7,255,3584,0.46839055,14,0.00025,9.389263153076172,-42.59547443389893,0.061328125,-0.02371498307911679,20.207495784759523,0.2,0.011705827,-0.0030307769775390625,1.0010430812835693,60
8,254,4096,0.13696949,16,0.00025,9.613374710083008,-42.604995536804196,0.1337890625,-0.032025580084882675,15.694087862968445,0.2,0.017832205,-0.10029780864715576,1.0014523267745972,70
9,255,4608,1.2966868,18,0.00025,17.065311431884766,-42.61771831512451,0.1271484375,-0.03306933888234198,34.43708419799805,0.2,0.017539568,-0.06026184558868408,1.0019947290420532,80
10,254,5120,-2.3012621,20,0.00025,5.580060005187988,-42.64097032546997,0.1603515625,-0.03332334980368614,15.534362959861756,0.2,0.02295001,-0.013510465621948242,1.0027806758880615,90
11,253,5632,0.57868457,22,0.00025,5.656365394592285,-42.650892162323,0.1783203125,-0.03693479488138109,14.94218189716339,0.2,0.02197846,0.006065189838409424,1.0027871131896973,100
12,253,6144,0.77574444,24,0.00025,9.96652889251709,-42.65168018341065,0.17890625,-0.03910459990147501,23.517822122573854,0.2,0.021525005,-0.001980423927307129,1.002881407737732,110
13,252,6656,1.6301687,26,0.00025,12.541715621948242,-42.66568107604981,0.2333984375,-0.040847631951328366,24.258550763130188,0.2,0.026662387,0.030214130878448486,1.0037227869033813,120
14,252,7168,1.4026436,28,0.00025,9.492035865783691,-42.68600969314575,0.1197265625,-0.034797646454535425,20.623495626449586,0.2,0.018268462,-0.01884150505065918,1.0041675567626953,130
15,251,7680,0.3159002,30,0.00025,18.628643035888672,-42.70026416778565,0.181640625,-0.032572684646584096,35.20366191864014,0.2,0.02627933,0.020501673221588135,1.0049254894256592,140
16,251,8192,0.91785204,32,0.00025,10.449136734008789,-42.72077341079712,0.1994140625,-0.040581046417355535,25.357528400421142,0.2,0.02857196,0.04029875993728638,1.0052212476730347,150
17,252,8704,-2.4930792,34,0.00025,7.189632415771484,-42.72949190139771,0.1353515625,-0.028030535439029336,15.677919554710389,0.2,0.017238405,0.018301546573638916,1.0056360960006714,160
18,253,9216,-1.2164147,36,0.00025,18.548274993896484,-42.743488788604736,0.1318359375,-0.028678545309230686,38.770557498931886,0.2,0.02242196,0.009321033954620361,1.0062938928604126,170
19,254,9728,0.13051352,38,0.00025,2.1470277309417725,-42.75753059387207,0.2908203125,-0.03813629955984652,6.8538368225097654,0.2,0.028102227,0.023889601230621338,1.0062787532806396,180
20,255,10240,-0.5526119,40,0.00025,13.891819953918457,-42.76150646209717,0.108984375,-0.020587701920885593,30.141880130767824,0.2,0.013962587,-0.0023142099380493164,1.0068365335464478,190
21,253,10752,0.26305693,42,0.00025,9.745227813720703,-42.77291984558106,0.0662109375,-0.023611189308576287,22.973822832107544,0.2,0.01262993,-0.01610696315765381,1.0068495273590088,200
22,254,11264,-0.6039849,44,0.00025,9.578702926635742,-42.7724289894104,0.1765625,-0.03199372944654897,17.549032592773436,0.2,0.026610546,-0.0064231157302856445,1.0072544813156128,210
23,254,11776,-0.27446,46,0.00025,43.15422821044922,-42.791463947296144,0.2107421875,-0.026853364543057978,94.77055969238282,0.2,0.028647682,0.008616209030151367,1.0076439380645752,220
24,255,12288,2.6910424,48,0.00025,61.72797393798828,-42.800996971130374,0.0837890625,-0.025758413376752286,127.04802989959717,0.2,0.014516823,-0.006807208061218262,1.0080366134643555,230
25,255,12800,-2.2648358,50,0.00025,9.836708068847656,-42.807754039764404,0.21015625,-0.036148913716897366,17.51946358680725,0.2,0.03683216,0.013214349746704102,1.0081877708435059,240
26,256,13312,0.29563448,51,0.00025,10.262386322021484,-42.8213267326355,0.301171875,-0.032248981622979046,31.087159585952758,0.2,0.033563476,0.009288966655731201,1.0088427066802979,250
27,256,13824,-1.3250946,53,0.00025,34.20018768310547,-42.83291139602661,0.0849609375,-0.01813545051263645,61.009987926483156,0.2,0.013073477,0.0052800774574279785,1.0089527368545532,260
28,256,14336,-0.80446756,55,0.00025,6.956931114196777,-42.83547468185425,0.218359375,-0.03080495782196522,18.717094945907593,0.2,0.02563295,0.006499648094177246,1.009249210357666,270
29,257,14848,-0.1978202,57,0.00025,20.91475486755371,-42.8432279586792,0.134765625,-0.03040829682722688,44.0558687210083,0.2,0.020658426,-0.004129767417907715,1.0093234777450562,280
30,257,15360,1.2588797,59,0.00025,28.679319381713867,-42.84943161010742,0.1345703125,-0.026579090871382504,62.39059114456177,0.2,0.022549272,-0.015891551971435547,1.0098391771316528,290
31,256,15872,-0.23617189,61,0.00025,25.90017318725586,-42.87408895492554,0.133984375,-0.02615231149829924,51.70737543106079,0.2,0.02035402,-0.016249775886535645,1.010927677154541,300
32,256,16384,-0.42887893,63,0.00025,48.842803955078125,-42.89817886352539,0.187109375,-0.03314324619714171,83.96191520690918,0.2,0.021074906,0.0012668967247009277,1.0113036632537842,310
33,256,16896,2.0530384,65,0.00025,29.82761001586914,-42.910391616821286,0.183203125,-0.03483867519535124,61.48582515716553,0.2,0.025329346,0.021704792976379395,1.0118680000305176,320
34,255,17408,-2.0888464,68,0.00025,12.733499526977539,-42.93824768066406,0.298828125,-0.03655160237103701,24.379191732406618,0.2,0.039084792,0.02341151237487793,1.0134474039077759,330
35,254,17920,0.30249244,70,0.00025,29.88733673095703,-42.979533672332764,0.153515625,-0.02097676785197109,55.553913021087645,0.2,0.02650085,-0.006513118743896484,1.0144562721252441,340
36,253,18432,1.2941324,72,0.00025,7.14915657043457,-43.00155935287476,0.24375,-0.027427792036905884,13.603666925430298,0.2,0.03015484,-0.020503997802734375,1.0145676136016846,350
37,253,18944,0.77784574,74,0.00025,25.752887725830078,-43.0052716255188,0.1884765625,-0.025951975479256362,44.75718011856079,0.2,0.027793866,-0.06545555591583252,1.0153062343597412,360
