time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/reward,train/explained_variance,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/std,train/clip_range,train/approx_kl
512,1,0,527,-1.5112835,,,,,,,,,,,
1024,2,2,494,-0.27902216,0.00044524669647216797,-14.191457295417786,7.264820694923401,0.00025,-0.010621472517959774,0.1115234375,3.5729830265045166,10,1.0002131462097168,0.2,0.008846759
1536,3,3,484,0.5100599,0.006075084209442139,-14.192236995697021,70.92294311523438,0.00025,-0.002778990939259529,0.0,31.930618286132812,20,1.0004470348358154,0.2,0.0010736987
2048,4,4,482,2.4349566,0.000587165355682373,-14.194318795204163,63.783542728424074,0.00025,-0.011052672541700304,0.0404296875,32.40872573852539,30,1.0004796981811523,0.2,0.010209536
2560,5,5,480,7.129058,-0.05704319477081299,-14.195582270622253,24.657703495025636,0.00025,-0.008448701654560863,0.0123046875,12.419620513916016,40,1.0007429122924805,0.2,0.0050365925
3072,6,6,478,-0.11762899,0.0013607144355773926,-14.197449612617493,427.2093681335449,0.00025,-0.004271952074486762,0.0001953125,228.54461669921875,50,1.0009284019470215,0.2,0.0015996036
3584,7,7,478,-1.461326,-0.004946708679199219,-14.199585723876954,258.54333724975584,0.00025,-0.006693477812223137,0.00546875,114.75806427001953,60,1.001165509223938,0.2,0.0036005946
4096,8,8,479,0.3280498,-0.056813955307006836,-14.20530161857605,41.39401597976685,0.00025,-0.009978390147443861,0.03515625,15.909502029418945,70,1.0021241903305054,0.2,0.009687744
4608,9,9,474,2.2545629,0.0020249485969543457,-14.214227223396302,305.73202056884764,0.00025,-0.012057662755250931,0.0666015625,124.82616424560547,80,1.0028504133224487,0.2,0.013620636
5120,10,10,475,0.07070475,-0.014465570449829102,-14.21909248828888,189.7098529815674,0.00025,-0.002783763548359275,0.0,80.78923797607422,90,1.0031262636184692,0.2,0.0015870372
5632,11,11,475,0.4629182,-0.014638662338256836,-14.221128749847413,64.1969072341919,0.00025,-0.002399801183491945,0.0,30.611385345458984,100,1.003241777420044,0.2,0.00064410525
6144,12,12,475,3.03192,0.01088714599609375,-14.222258615493775,216.1616226196289,0.00025,-0.0025362197950016705,0.0,122.61021423339844,110,1.0033681392669678,0.2,0.00043415802
6656,13,13,475,3.0824413,-0.01702570915222168,-14.223163628578186,428.3066040039063,0.00025,-0.005061033787205816,0.0,162.14488220214844,120,1.003422737121582,0.2,0.0015872013
7168,14,15,475,4.714495,-0.0202256441116333,-14.221877408027648,56.821510791778564,0.00025,-0.010661531891673803,0.0154296875,26.124095916748047,130,1.0029693841934204,0.2,0.0066868104
7680,15,16,474,-1.9610847,-0.02139568328857422,-14.218371391296387,197.3983528137207,0.00025,-0.007370993122458458,0.0017578125,74.02641296386719,140,1.002955675125122,0.2,0.0037987577
8192,16,17,474,-0.8481579,-0.003917098045349121,-14.22328941822052,187.381921005249,0.00025,-0.015586713224183767,0.065234375,99.72052001953125,150,1.004004716873169,0.2,0.013638508
