time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate,train/std,train/explained_variance,train/clip_range,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss
512,1,1,289,,,,,,,,,,,
1024,2,5,178,0.013454853,-14.193443536758423,0.1119140625,0.00025,1.0002589225769043,-0.040564656257629395,0.2,0.3854855000972748,10,-0.028568011755123735,5.83097653388977
1536,3,8,189,0.009082669,-14.19074215888977,0.043359375,0.00025,1.0004037618637085,0.07733416557312012,0.2,13.492685317993164,20,-0.011757277615834028,47.029509329795836
