algorithm,final_value,total_return,sharpe,max_drawdown
ppo,6181715.965685232,5.181715965685232,2.478721739758195,-0.2763824700954616
a2c,4080056.313496704,3.080056313496704,1.7361794864394111,-0.3901921308292232
td3,3037213.9665572587,2.0372139665572586,1.639935580194709,-0.32291563248587174
sac,3383753.303319877,2.3837533033198772,2.0013267834716317,-0.2441082868184008
ddpg,3749975.544042072,2.749975544042072,1.8784428741811559,-0.41977868116467587
ppo_lstm,3325730.300688127,2.325730300688127,2.0764042949547754,-0.3013106032433942
ppo_mamba,6769492.4826281415,5.7694924826281415,2.4060343727388696,-0.28433591549868575
buy_hold,3299154.582392456,2.302444241678655,2.297775881807138,-0.2659938723338565
