train/explained_variance,time/iterations,train/reward,time/total_timesteps,train/n_updates,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/value_loss,train/learning_rate,train/policy_loss
-0.0891885757446289,100,-1.4488728,500,99,249,2,-42.70000076293945,1.0045024156570435,1.288336157798767,0.0007,-21.450408935546875
-1.1920928955078125e-07,200,0.13798502,1000,199,249,4,-42.76253128051758,1.0065990686416626,15.312936782836914,0.0007,153.7241973876953
0.053810060024261475,300,1.9439344,1500,299,249,6,-42.77898406982422,1.0072036981582642,2.798267126083374,0.0007,-45.29616928100586
0.08877807855606079,400,0.0038939829,2000,399,249,8,-42.79161834716797,1.0075874328613281,5.889517784118652,0.0007,57.021644592285156
0.0,500,2.1766524,2500,499,248,10,-42.7690544128418,1.0073872804641724,3.41566801071167,0.0007,-15.381866455078125
0.04879540205001831,600,-1.1221111,3000,599,249,12,-42.77953338623047,1.007270336151123,3.321265459060669,0.0007,-52.48504638671875
-1.1920928955078125e-07,700,0.33259362,3500,699,250,13,-42.8653450012207,1.010128378868103,5.676779747009277,0.0007,13.02918815612793
-0.2862856388092041,800,-5.59092,4000,799,250,15,-42.792503356933594,1.0077526569366455,36.09115219116211,0.0007,-253.360107421875
-0.24696743488311768,900,1.5592557,4500,899,250,17,-42.74420928955078,1.0060924291610718,1.4977200031280518,0.0007,37.345741271972656
5.960464477539063e-08,1000,1.313626,5000,999,247,20,-42.781944274902344,1.007331371307373,1.8934605121612549,0.0007,55.49644088745117
0.05011779069900513,1100,0.12257677,5500,1099,244,22,-42.77000045776367,1.0069801807403564,1.4857966899871826,0.0007,42.52628707885742
0.0784197449684143,1200,-0.8695408,6000,1199,242,24,-42.8443717956543,1.0094603300094604,14.295145988464355,0.0007,153.0332794189453
0.0,1300,-2.2478359,6500,1299,237,27,-42.863121032714844,1.0102263689041138,0.2701784074306488,0.0007,-8.38049602508545
5.960464477539063e-08,1400,-0.50374174,7000,1399,231,30,-42.912681579589844,1.012039303779602,60.2737922668457,0.0007,332.541015625
-0.11125516891479492,1500,0.144419,7500,1499,231,32,-42.93691635131836,1.0127854347229004,3.9101662635803223,0.0007,-60.40380096435547
-0.40242063999176025,1600,2.5438595,8000,1599,231,34,-42.97333526611328,1.0141698122024536,3.876330852508545,0.0007,80.01322937011719
1.1920928955078125e-07,1700,-0.29432252,8500,1699,232,36,-42.905242919921875,1.011796236038208,2.4551327228546143,0.0007,15.604719161987305
0.0,1800,1.2713565,9000,1799,231,38,-42.889320373535156,1.0112565755844116,9.620036125183105,0.0007,-119.35184478759766
0.01025325059890747,1900,2.305234,9500,1899,231,40,-42.9036865234375,1.0117532014846802,29.5041446685791,0.0007,-225.6260986328125
0.0,2000,1.1485434,10000,1999,232,43,-42.838436126708984,1.009588599205017,1.7189159393310547,0.0007,48.519596099853516
-0.04316830635070801,2100,-0.5329047,10500,2099,231,45,-42.849735260009766,1.0099208354949951,6.967474937438965,0.0007,-104.04486083984375
0.0,2200,11.289253,11000,2199,231,47,-42.82966613769531,1.0089949369430542,316.4527587890625,0.0007,628.866943359375
0.0,2300,-10.121334,11500,2299,230,49,-42.792545318603516,1.008042812347412,323.5274658203125,0.0007,-706.8153076171875
0.0,2400,1.8031332,12000,2399,229,52,-42.8426628112793,1.0095787048339844,5.533718109130859,0.0007,-86.03498840332031
-0.073097825050354,2500,0.12971097,12500,2499,228,54,-42.900943756103516,1.0114606618881226,1.1504532098770142,0.0007,-9.4944486618042
-0.2774062156677246,2600,-1.6549325,13000,2599,227,57,-42.905086517333984,1.0119107961654663,9.66464614868164,0.0007,118.4211196899414
0.003958702087402344,2700,-0.55131793,13500,2699,226,59,-42.94026184082031,1.0130207538604736,1.4784412384033203,0.0007,9.356877326965332
0.0,2800,1.5851287,14000,2799,226,61,-42.945838928222656,1.0132116079330444,33.9653434753418,0.0007,-230.14187622070312
0.0,2900,2.356485,14500,2899,225,64,-42.8939208984375,1.0113937854766846,559.9498291015625,0.0007,937.1300048828125
-0.10049843788146973,3000,-0.1861338,15000,2999,224,66,-42.95109176635742,1.0135687589645386,0.8265636563301086,0.0007,-8.044079780578613
0.0,3100,-2.7393878,15500,3099,225,68,-42.93531036376953,1.0128285884857178,7.761087894439697,0.0007,-83.6244888305664
0.0,3200,6.1691957,16000,3199,225,70,-42.872440338134766,1.0106072425842285,170.71734619140625,0.0007,-473.3048400878906
0.0,3300,-1.4911304,16500,3299,225,73,-42.89024353027344,1.011411428451538,2.5602924823760986,0.0007,61.382347106933594
0.0,3400,6.01473,17000,3399,225,75,-42.92264938354492,1.0124642848968506,3.209761142730713,0.0007,-58.2568359375
0.0,3500,-0.8288933,17500,3499,225,77,-42.92878341674805,1.012742519378662,0.6190582513809204,0.0007,2.4911460876464844
0.0,3600,-0.46726128,18000,3599,226,79,-42.939998626708984,1.0130988359451294,8.731061935424805,0.0007,84.61077880859375
0.0038407444953918457,3700,2.0566769,18500,3699,226,81,-42.98289108276367,1.0147252082824707,7.127686977386475,0.0007,-84.46549987792969
-0.1903064250946045,3800,-1.0870116,19000,3799,226,83,-43.04926681518555,1.016910433769226,18.605030059814453,0.0007,-128.74928283691406
-8.344650268554688e-07,3900,-3.9638784,19500,3899,226,86,-43.125572204589844,1.0194696187973022,45.7691764831543,0.0007,-283.52337646484375
1.1920928955078125e-07,4000,1.0731332,20000,3999,226,88,-43.12618637084961,1.0198509693145752,1.1505054235458374,0.0007,6.533169746398926
