time/time_elapsed,time/iterations,time/total_timesteps,train/reward,time/fps,train/std,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate
3,1,2048,1.308337,544,,,,,,,,,,,
8,2,4096,-0.19525379,510,1.0007445812225342,51.235917115211485,-0.002221822738647461,-14.197564113140107,10,34.89328384399414,0.2,0.0763671875,-0.005227456675493158,0.009363,0.00025
12,3,6144,0.7161599,507,1.000856876373291,72.96155779361725,-0.021026134490966797,-14.197361433506012,20,39.94400405883789,0.2,0.062109375,-0.00893168746260926,0.007521137,0.00025
16,4,8192,2.4197667,502,1.0007002353668213,106.91402032375336,-0.001847982406616211,-14.197779965400695,30,63.975608825683594,0.2,0.048046875,-0.008610662029241212,0.008556716,0.00025
20,5,10240,-0.17136095,500,1.0016528367996216,104.1951800107956,-0.015210986137390137,-14.20045068860054,40,48.029544830322266,0.2,0.053515625,-0.007417123686900595,0.006333154,0.00025
24,6,12288,5.954333,500,1.002963662147522,131.60012726783754,-0.007716536521911621,-14.21108387708664,50,50.879024505615234,0.2,0.057470703125,-0.009253340917348396,0.0076794736,0.00025
28,7,14336,-1.0053735,498,1.002859115600586,71.34411170482636,-0.014822602272033691,-14.221412885189057,60,39.80616760253906,0.2,0.044873046875,-0.007066540197411086,0.006572352,0.00025
32,8,16384,0.08812136,498,1.0049529075622559,109.14943056106567,-0.004366159439086914,-14.224765837192535,70,62.69453811645508,0.2,0.0986328125,-0.010784676537150517,0.008684911,0.00025
36,9,18432,0.71031225,498,1.0063484907150269,71.57156841754913,0.007304191589355469,-14.245975345373154,80,36.55022430419922,0.2,0.0716796875,-0.009495165717089549,0.009900173,0.00025
41,10,20480,-1.3953811,498,1.0057939291000366,65.87227022647858,0.011054277420043945,-14.251150214672089,90,34.12278747558594,0.2,0.122412109375,-0.013920794628211297,0.013618435,0.00025
