time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/entropy_loss,train/std,train/value_loss,train/learning_rate
249,8,1,0.8469593,2048,,,,,,,,,,,
251,16,2,0.24588723,4096,0.2,0.016527982,6.010393142700195,-0.03017103851598222,-0.01743137836456299,10,0.216259765625,-42.61674480438232,1.0028102397918701,13.406729245185852,0.00025
248,24,3,1.4413774,6144,0.2,0.02133407,13.760332107543945,-0.0210872196854325,-0.0177004337310791,20,0.19287109375,-42.68118603229523,1.0049450397491455,39.76653282642364,0.00025
251,32,4,1.2744149,8192,0.2,0.019142613,14.180877685546875,-0.016242411237908528,0.002997875213623047,30,0.19970703125,-42.75509510040283,1.0076069831848145,32.851393568515775,0.00025
253,40,5,1.0991807,10240,0.2,0.014996944,13.086965560913086,-0.01724552968516946,0.011839985847473145,40,0.174267578125,-42.81573300361633,1.0089805126190186,21.723956233263017,0.00025
252,48,6,2.183207,12288,0.2,0.014457617,7.116093635559082,-0.01970309683092637,0.03555619716644287,50,0.16376953125,-42.85616731643677,1.0103232860565186,14.17570629119873,0.00025
253,56,7,-0.7478284,14336,0.2,0.014887665,6.215993881225586,-0.02098485057213111,0.019048452377319336,60,0.161669921875,-42.90077712535858,1.0121735334396362,16.791413295269013,0.00025
258,63,8,-0.33352047,16384,0.2,0.017140832,8.404810905456543,-0.011621271958574653,-0.008965849876403809,70,0.211669921875,-42.95494718551636,1.013789415359497,19.3814545750618,0.00025
261,70,9,0.23565173,18432,0.2,0.020142263,5.502334117889404,-0.018381026736460627,0.034864604473114014,80,0.221484375,-42.97378113269806,1.013553261756897,13.134627544879914,0.00025
264,77,10,-1.1774926,20480,0.2,0.017755754,7.432515621185303,-0.01677428677357966,-0.003925323486328125,90,0.182470703125,-43.00282330513001,1.015897512435913,18.660160577297212,0.00025
