time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/learning_rate,train/loss,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range
1,1,138,256,,,,,,,,,,,
2,6,77,512,0.00025,-0.10484302043914795,1.0011168718338013,-42.58400535583496,-0.08733760104514658,2.5116704165935517,0.040954918,-0.07325446605682373,10,0.291015625,0.2
3,8,88,768,0.00025,-0.16836071014404297,1.002184510231018,-42.61643772125244,-0.042537529254332185,2.7760443478822707,0.02398812,0.16357678174972534,20,0.1734375,0.2
4,10,96,1024,0.00025,0.3890640139579773,1.0027662515640259,-42.64292449951172,-0.0472378489561379,5.822064906358719,0.021795131,0.3035205602645874,30,0.1375,0.2
