date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-02-05,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-15,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-16,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-19,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-20,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-21,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-22,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-23,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-26,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-27,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-02-29,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-03-01,0,22,0,0,0,0,0,14,0,1,0,14,0,0,0,0,0,3,1,0,0,3,0,15,4,16,0,24,30,0
2024-03-04,0,22,0,0,0,0,0,18,1,2,0,15,0,0,0,0,0,5,2,0,0,5,0,15,4,19,0,22,30,0
2024-03-05,0,10,3,0,4,0,10,19,11,6,10,4,0,5,15,19,0,7,6,0,0,-10,0,7,-18,-5,0,-6,-4,11
2024-03-06,0,12,-3,0,-4,0,-10,14,10,0,3,16,0,-5,-13,-4,0,4,6,0,0,-1,0,13,1,11,0,12,13,1
2024-03-07,0,6,2,0,18,0,13,17,11,6,10,-4,0,0,19,27,0,18,6,0,2,-11,0,10,-25,-4,0,-12,-6,15
2024-03-08,0,23,-2,0,-18,0,-13,25,3,-1,-1,20,0,0,-21,-30,0,1,-1,0,-2,5,0,11,7,15,0,25,29,-6
2024-03-11,0,11,3,0,0,0,0,15,11,15,11,5,0,0,7,16,0,11,11,0,0,-11,0,13,-14,0,0,1,5,9
2024-03-12,0,9,0,0,0,0,0,14,10,14,13,3,0,0,4,14,0,14,12,0,0,-8,0,13,-14,1,0,4,4,8
2024-03-13,0,11,-3,0,0,0,0,18,7,7,6,12,0,0,-7,4,0,12,9,0,0,-7,0,12,-3,4,0,8,16,5
2024-03-14,0,16,12,0,31,0,25,25,7,14,10,-13,3,9,29,29,3,12,3,0,1,-13,0,7,-32,-12,0,-20,-1,20
2024-03-15,0,22,-12,0,-31,0,-25,18,1,2,-1,15,-3,-9,-29,-25,-3,5,2,0,-1,5,0,15,4,19,0,22,30,-8
2024-03-18,0,23,0,0,0,0,0,25,3,-1,-1,20,0,0,-4,-30,0,1,-1,0,0,5,0,11,7,15,0,25,29,-6
2024-03-19,0,16,11,0,33,0,28,25,3,15,7,-14,1,8,31,30,1,13,3,0,1,-12,0,5,-33,-17,0,-23,0,18
2024-03-20,0,22,-11,0,-33,0,-28,14,-2,1,-5,14,-1,-8,-29,-29,-1,3,1,0,-1,3,0,15,4,16,0,24,30,-11
2024-03-21,0,22,0,0,0,0,0,14,-2,1,-5,14,0,0,-2,-21,0,3,1,0,0,3,0,15,4,16,0,24,30,-11
2024-03-22,0,16,0,0,0,0,0,19,9,0,4,14,0,0,0,0,0,6,6,0,0,-1,0,11,0,9,0,11,14,0
2024-03-25,0,16,11,0,33,0,28,25,3,15,7,-14,1,8,31,30,1,13,3,0,1,-12,0,5,-33,-17,0,-23,0,18
2024-03-26,0,22,-11,0,-33,0,-28,14,-2,1,-5,14,-1,-8,-29,-29,-1,3,1,0,-1,3,0,15,4,16,0,24,30,-11
2024-03-27,0,22,0,0,0,0,0,14,-2,1,-5,14,0,0,-2,-1,0,3,1,0,0,3,0,15,4,16,0,24,30,-11
2024-03-28,0,16,0,0,0,0,0,19,9,0,3,14,0,0,0,0,0,6,6,0,0,-1,0,11,0,9,0,11,14,0
2024-03-29,0,16,11,0,33,0,28,25,0,15,0,-14,0,5,31,30,0,13,0,0,0,-12,0,1,-11,-17,0,-23,0,18
2024-04-01,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,22,2,0,0,0,0,0,-12,0,0,0,-17,0,-23,0,0
2024-04-02,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,22,2,0,0,0,0,0,-12,0,0,0,-17,0,-23,0,1
2024-04-03,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,22,0,0,1,0,0,0,-12,0,0,0,-17,0,-23,0,0
2024-04-08,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,19,3,0,0,0,0,0,-4,0,1,0,-17,0,-23,0,0
2024-04-09,0,0,0,0,31,0,0,0,0,0,0,-13,0,0,16,2,0,0,0,0,0,0,0,1,0,-12,0,-20,-1,0
2024-04-10,0,0,0,0,31,0,0,0,0,0,0,-13,0,0,18,0,0,0,0,0,0,0,0,1,0,-12,0,-20,-1,0
2024-04-11,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,21,2,0,0,0,0,0,0,0,0,0,-17,0,-23,0,1
2024-04-12,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,22,0,0,0,0,0,0,0,0,0,0,-17,0,-23,0,0
2024-04-15,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,22,1,0,0,0,0,0,0,0,1,0,-17,0,-23,0,0
2024-04-16,0,0,0,0,1,0,0,0,0,0,0,-16,0,0,27,0,0,0,0,0,0,0,0,0,0,-16,0,-22,-1,0
2024-04-17,0,0,0,0,4,0,0,0,0,0,0,-16,0,0,27,0,0,0,0,0,0,0,0,1,0,-16,0,-22,-1,0
2024-04-18,0,0,0,0,4,0,0,0,0,0,0,-16,0,0,26,0,0,0,0,0,0,0,0,0,0,-16,0,-22,-1,0
2024-04-19,0,0,0,0,5,0,0,0,0,0,0,-16,0,0,25,0,0,0,0,0,0,0,0,1,0,-15,0,-23,0,0
2024-04-22,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,27,0,0,0,0,0,0,0,0,0,0,-15,0,-23,0,0
2024-04-23,0,0,0,0,4,0,0,0,0,0,0,-16,0,0,25,0,0,0,0,0,0,0,0,0,0,-15,0,-23,0,0
2024-04-24,0,0,0,0,34,0,0,0,0,0,0,-15,0,0,21,2,0,1,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-04-25,0,0,0,0,7,0,0,0,0,0,0,-16,0,0,25,0,0,0,0,0,0,0,0,0,0,-15,0,-23,0,0
2024-04-26,0,0,0,0,35,0,0,0,0,0,0,-15,0,0,12,30,0,0,0,0,0,0,0,1,0,-16,0,-24,0,1
2024-04-29,0,0,0,0,35,0,0,1,0,0,0,-15,0,0,12,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-04-30,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,20,2,0,1,0,0,0,0,0,0,0,-17,0,-23,0,0
2024-05-02,0,0,0,0,35,0,0,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,1,0,-16,0,-24,0,1
2024-05-03,0,0,0,0,35,0,1,1,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-06,0,0,0,0,33,0,0,0,0,0,0,-14,0,0,19,3,0,0,0,0,0,0,0,1,0,-17,0,-23,0,0
2024-05-07,0,0,0,0,35,0,2,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-08,0,0,0,0,35,0,2,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,1
2024-05-09,0,0,0,0,35,0,1,1,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-10,0,0,0,0,35,0,0,0,0,0,0,-15,0,0,12,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-13,0,0,0,0,35,0,2,0,0,0,0,-15,0,0,11,30,0,0,0,0,1,0,0,0,0,-16,0,-24,0,0
2024-05-14,0,0,0,0,35,0,2,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-15,0,0,1,0,35,0,1,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,0
2024-05-16,0,0,0,0,35,0,0,1,0,0,0,-15,0,0,11,30,0,0,0,0,1,0,0,0,0,-16,0,-24,0,0
2024-05-17,0,0,0,0,35,0,0,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,1,0,-16,0,-24,0,1
2024-05-20,0,0,0,0,35,0,1,0,0,0,0,-15,0,0,11,30,0,0,0,0,0,0,0,0,0,-16,0,-24,0,1
2024-05-21,0,0,0,0,3,0,0,0,0,0,0,-16,0,0,24,0,0,0,0,0,0,0,0,0,0,-15,0,-23,0,0
2024-05-22,0,0,0,0,1,0,0,0,0,0,0,-16,0,0,24,0,0,0,0,0,0,0,0,0,0,-15,0,-23,0,0
2024-05-23,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,22,2,0,0,0,0,-1,0,0,1,0,-17,0,-25,0,1
2024-05-24,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,22,2,0,0,0,0,-1,0,0,0,0,-17,0,-25,0,1
2024-05-27,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,23,0,0,0,0,0,0,0,0,0,0,-17,0,-25,0,1
2024-05-28,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,23,3,0,0,0,0,0,0,0,0,0,-17,0,-25,0,0
2024-05-29,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,23,1,0,0,0,0,0,0,0,1,0,-17,0,-25,0,1
2024-05-30,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,23,2,0,0,0,0,0,0,0,1,0,-17,0,-25,0,0
2024-05-31,0,0,0,0,35,0,0,0,0,0,0,-16,0,0,22,2,0,0,0,0,0,0,0,1,0,-15,0,-25,0,0
2024-06-03,0,0,0,0,35,0,0,0,0,0,0,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-10,0,1
2024-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
