date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2025-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,999002.0170805665
2025-01-03,1000196.9785388183,1000814.1779604492,1000876.2655029297,1002189.4557617188,1000000.0,1000061.338585205,1000258.2929641113,1009231.199697754
2025-01-06,1001908.9640063476,1007890.3845595703,1010578.1372070312,1023304.5639160157,1000000.0,1000836.4340405273,1002586.6180288085,1054836.193105957
2025-01-07,1004702.3889300537,1019436.5409108887,1011938.9114135742,1043288.1709472657,1000000.0,1000952.8967150878,1005810.7309462889,1081192.8583891601
2025-01-08,1003526.4292022705,1014575.9073693848,1002020.8139038086,1025530.3419189454,1000000.0,1000059.1597180176,1003959.1808554685,1062084.6330473633
2025-01-09,1001340.6073321532,1005541.1769729004,999460.6613769531,1011479.3742294923,1000000.0,999822.7587231445,1001282.7968006589,1048657.9323637695
2025-01-10,1003484.4304199218,1014402.3124023438,999352.7814331055,1021532.7538681641,1000000.0,999811.9707287598,1003798.3452694089,1057893.5729887695
2025-01-13,995887.1780187987,983000.3358110352,982081.9986572266,981565.2419052735,1000000.0,998182.9661816406,993739.5791003415,1018466.840322754
2025-01-14,997021.5773773192,987689.1864929199,993745.4182128906,991471.0277939454,1000000.0,999290.4638989258,995784.6152010495,1029192.9924223634
2025-01-15,999598.9049383544,998342.1404118653,971572.1493774414,989706.4765244141,1000000.0,997171.2097692871,997589.4244356686,1024861.8295805665
2025-01-16,1005350.6850958251,1022116.1650627442,1008023.902319336,1021483.524131836,1000000.0,1000926.7611242676,1006875.4097322995,1058390.3674223633
2025-01-17,1000567.4770153807,1002345.5716635743,1021704.8471435547,1015303.7152939454,1000000.0,1002475.2575903321,1002010.8909393308,1054339.2819731445
2025-01-20,1003144.3606701659,1012787.8117465822,1021704.8471435547,1021335.7328720704,1000000.0,1002464.2734533692,1005151.8093603513,1059880.6569731445
2025-01-21,1006875.4968591307,1026795.2355747072,1021704.8471435547,1029378.4569931641,1000000.0,1002452.19090271,1009715.2001557614,1067269.1882231445
2025-01-22,1006854.3559082029,1026795.2355747072,1035386.1325439453,1035262.8808212891,1000000.0,1004470.2345727539,1010975.3059642331,1074301.0746977539
2025-02-03,1014409.3319006346,1051308.1828403322,976101.3571533203,1023838.7943955079,1000000.0,994959.676723877,1014146.9454263913,1056759.8813383789
2025-02-04,1012078.799156494,1044304.5597934572,998903.1589111328,1029624.7099228516,1000000.0,998871.0241943359,1013766.4466817623,1064785.2983305664
2025-02-05,1020643.5010498045,1068817.3293247072,1012584.2172607422,1049583.6757431643,1000000.0,1001374.760779541,1025941.659597778,1084746.880605957
2025-02-06,1020621.494259033,1068817.3293247072,1017144.6457275391,1051545.1503525393,1000000.0,1002255.2570545654,1026474.9917202145,1087090.8427641601
2025-02-07,1020599.4874682615,1068817.3293247072,1026265.3891357422,1055468.0507431643,1000000.0,1004136.027880249,1027645.7537502439,1091778.708730957
2025-02-10,1007589.88302124,1037300.7590122072,1008023.902319336,1029526.1972275391,1000000.0,1000122.5329892577,1008955.648911743,1065778.8517973633
2025-02-11,1016659.8824218748,1058311.8947543947,1012584.2172607422,1043551.7091904298,1000000.0,1001164.8786136473,1020877.6256267087,1079205.552480957
2025-02-12,1008701.1731439207,1040802.5705356447,1003463.5873779297,1029575.4269638673,1000000.0,998936.4928085936,1009569.1572224118,1065282.0573637695
2025-02-13,1020296.4562268064,1065315.5178012697,994342.730444336,1039727.219444336,1000000.0,996600.278602661,1022498.6778210447,1073524.0392973633
2025-02-14,1015079.482526245,1054809.9943637697,966980.5002197266,1021926.500694336,1000000.0,989322.4157083739,1011349.8365388182,1053919.0663969726
2025-02-17,1029488.4436694335,1082824.7531528322,989782.4155029297,1047819.1733017579,1000000.0,995613.1944437254,1033308.078316284,1080415.7761137695
2025-02-18,1025714.2073461912,1075821.1301059572,1003463.5873779297,1049682.2372666018,1000000.0,999530.3738712156,1031112.4635571287,1083753.3854887695
2025-02-19,1027640.179415283,1079322.9416293947,994342.730444336,1047769.9435654298,1000000.0,996802.9435428465,1031760.2827342527,1080912.5705473633
2025-02-20,1011455.5953228758,1051308.1828403322,985221.9870361328,1027761.6459580079,1000000.0,993977.5725919188,1009745.8396676023,1061447.6889555664
2025-02-21,1015618.8595758055,1058311.8947543947,998903.1589111328,1037667.3830185548,1000000.0,998336.1291812742,1017759.4295604246,1072173.7827055664
2025-02-24,1030749.248198242,1082824.7531528322,980661.4450439453,1043896.1752548829,1000000.0,992303.6631729734,1032760.30988208,1075727.7934477539
2025-02-25,1032963.743564453,1086326.6535434572,962420.1852783203,1038061.1786728516,1000000.0,986075.4006363524,1031678.5213078612,1068199.3344633789
2025-02-26,1037559.1494421385,1093330.2765903322,966980.5002197266,1044043.9154892579,1000000.0,987668.5195450438,1037988.167303955,1074237.4570219726
2025-02-27,1016107.1014440916,1061813.7062778322,948739.0134033203,1018102.0619736329,1000000.0,981048.0366837156,1010065.25128833,1048237.600088379
2025-03-03,994006.3229431151,1030297.1359653322,930497.4130615236,992160.1596298829,1000000.0,974231.5625894775,982142.311835205,1022237.6848051759
2025-03-04,1011662.6519519042,1054809.9943637697,912255.9262451171,998389.049522461,1000000.0,967239.7968234862,997165.0293645018,1025791.8122465821
2025-03-05,1011640.9337738035,1054809.9943637697,930497.4130615236,1006234.850303711,1000000.0,974390.2634962157,1000931.0137395018,1035167.5441801759
2025-03-06,1006279.9150585936,1047806.3713168947,916816.2979492188,996329.1886826173,1000000.0,968879.3926276854,992738.3638371581,1024441.5264799806
2025-03-07,989807.3145745848,1026795.2355747072,916816.2979492188,984265.1025009766,1000000.0,968870.5219548949,976633.6746281737,1013358.7296049806
2025-03-10,950390.4369293211,977769.4299106447,910431.7435058594,953369.6252060548,1000000.0,966170.5272586668,937738.1011418456,984217.4402983399
2025-03-11,944598.0160864256,970765.7179965822,885805.7590087891,938756.4418564454,1000000.0,955543.4175296018,927285.7971867674,967865.9482329102
2025-03-12,959369.4852783201,988274.9533481447,901310.9433349611,955478.7179794923,1000000.0,962370.4658552855,943907.4077824706,985070.9201567384
2025-03-13,947227.328932495,974267.5295200197,880333.2675537111,938413.3376083985,1000000.0,952910.5128124389,928840.0733098143,966900.3146879884
2025-03-14,953412.4820751952,981271.2414340822,874860.8328613281,940080.9643173829,1000000.0,950383.4983750609,933071.6793377683,967781.8665678712
2025-03-17,969266.036442871,998780.4767856447,884893.6392578125,954449.5295029298,1000000.0,955089.3739328611,948574.2966473387,982174.1539213868
2025-03-18,1001667.7904113767,1033798.9474887697,889933.4854492188,976723.9645615235,1000000.0,957497.7706851194,976461.280778198,1003235.8077299806
2025-03-19,995051.1105935057,1026795.2355747072,872523.2883056641,965214.3456650391,1000000.0,948971.2680177,967479.9671185301,990593.0751860352
2025-03-20,1008464.3074519042,1040802.5705356447,902762.0248779296,986262.9269638673,1000000.0,964049.6795025632,984491.7091839598,1013523.6198637696
2025-03-21,1005063.1296207274,1037300.7590122072,890849.8624023438,979128.7607041016,1000000.0,957982.3933862303,979335.5344403074,1005553.9151518556
2025-03-24,1005062.1719113158,1037300.7590122072,890849.8624023438,979128.7607041016,1000000.0,957973.7740015257,979335.5344403074,1005553.9151518556
2025-03-25,1035600.7617550658,1068817.3293247072,907343.7393554688,1004318.9540634766,1000000.0,966689.9898761595,1006915.3889324949,1030655.5381987306
2025-03-26,1028808.5539303587,1061813.7062778322,898180.3671630861,996356.4076767579,1000000.0,961733.9850623168,999645.5812542723,1022251.5432036134
2025-03-27,1008439.5550289915,1040802.5705356447,878021.2094482421,975621.7160263673,1000000.0,950625.9541455687,979357.324906616,1000807.3727934571
2025-03-28,994868.8477536009,1026795.2355747072,872523.2883056641,965214.3456650391,1000000.0,947530.5850623167,967479.9671185301,990593.0751860352
2025-03-31,943959.2883663939,974267.5295200197,834037.5564941406,918501.203819336,1000000.0,925505.7111316527,919231.5223553465,943105.3148100587
