algorithm,final_value,total_return,sharpe,max_drawdown
ppo,943959.2883663939,-0.05604071163360613,-1.074281982092307,-0.09021159046794602
a2c,974267.5295200197,-0.025732470479980396,-0.2460216892272603,-0.11210204383617794
td3,834037.5564941406,-0.16596244350585931,-2.763744933523829,-0.19446713619303646
sac,918501.203819336,-0.08149879618066402,-1.31235305032445,-0.12976882325086836
ddpg,1000000.0,0.0,0.0,0.0
ppo_lstm,925505.7111316527,-0.0744942888683473,-3.655366652747499,-0.07861310442383429
ppo_mamba,919231.5223553465,-0.08076847764465356,-1.5056885045490913,-0.11441040340282882
buy_hold,943105.3148100587,-0.05595254195167443,-0.7922482100657985,-0.13617539225848319
