train/reward,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,time/fps,time/time_elapsed,time/total_timesteps,time/episodes
-0.8153532,309.0229797363281,48.2641716003418,0.00025,5735,99,58,5836,4
-0.8153532,29.870540618896484,-15.436166763305664,0.00025,11571,95,122,11672,8
-0.8153532,3874.28271484375,-23.958396911621094,0.00025,17407,95,182,17508,12
